gen,q_value,Log2FC,sign
APBB1IP,0.03350818091984183,1.1668282770960448,UP
NR1H4,0.03350818091984183,1.5578252875431162,UP
TSPAN15,0.033260836694503616,1.1617723325438707,UP
SYDE1,0.032781297484510946,1.1634592078435324,UP
GYPC,0.03268249139424227,1.019281175197995,UP
CD163,0.03267573826939541,1.3765145752693797,UP
FERMT3,0.032595679893115695,1.3986658507480476,UP
CD109,0.03251149560700622,1.1042721034486822,UP
IGFBP3,0.03242504266086093,1.146896493157953,UP
COL5A3,0.0324071206296596,1.0955671041418906,UP
SFTA2,0.03232113654618998,1.6848262183320895,UP
CREB3L1,0.03220603617168476,1.0348781670985816,UP
RCSD1,0.03220603617168476,1.1949397932005443,UP
TMEM119,0.03220603617168476,1.305647663988291,UP
HAS2,0.03194637953477822,1.383145417646784,UP
SRPX,0.03171805079661711,1.1388085358092928,UP
NEK6,0.031653016166891534,1.1906571820611298,UP
BIRC3,0.03161812680101247,1.014400546529692,UP
SOCS1,0.030869380559206627,1.7447847126585836,UP
RASSF9,0.03037731339793082,1.0210774064106447,UP
C8B,0.03037731339793082,1.9547575313442036,UP
IFI44L,0.030254100978486676,1.6843655819563061,UP
CYBA,0.03008108285844985,1.1536200935622842,UP
CD101,0.029950589993198697,1.2754586451951355,UP
CCDC3,0.02921039471992789,1.0135816309847496,UP
TMEM273,0.029193693868521282,1.1741179338292949,UP
MEOX2,0.028888518004404153,1.4834176517066893,UP
STAB1,0.028873535037364978,1.0398555720146787,UP
IL7R,0.02872636959375689,1.6089250668461235,UP
MS4A4A,0.02853326545999611,1.497951913557053,UP
GIMAP6,0.02853326545999611,1.0108854641998464,UP
LAMP5,0.02837244039596157,1.18747879096758,UP
TRPV2,0.02837244039596157,1.176438910715238,UP
ALDH1A3,0.02837244039596157,1.2490361987479197,UP
CALHM5,0.02837244039596157,1.5137308553949482,UP
HAVCR2,0.02824271580930398,1.387806388927354,UP
FPR1,0.027579405036170068,1.3798955944723645,UP
